itemid,ManCode,productname,UKSize,Barcode,Available Physical
32FD9A01-09-4XL,32FD9A01,Mizuno - Nara Track Pant M(m) - Black,4XL,,20
32EC9C60-07-XS,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Grey Melange,XS,,0
32EC9C60-07-S,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Grey Melange,S,,0
32EC9C60-07-M,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Grey Melange,M,,0
32EC9C60-07-L,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Grey Melange,L,,0
32EC9C60-07-XL,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Grey Melange,XL,,17
32EC9C60-07-XXL,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Grey Melange,XXL,,15
32EC9C60-07-3XL,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Grey Melange,3XL,,0
32EC9C60-14-XS,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Navy,XS,,0
32EC9C60-14-S,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Navy,S,,0
32EC9C60-14-M,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Navy,M,,0
32EC9C60-14-L,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Navy,L,,0
32EC9C60-14-XL,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Navy,XL,,0
32EC9C60-14-XXL,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Navy,XXL,,0
32EC9C60-14-3XL,32EC9C60,Mizuno - Mizuno Ter Hoodie W(w) - Navy,3XL,,0
32EC9C60C-09-XS,32EC9C60C,Mizuno - Mizuno Ter Hoodie W(w) - Black,XS,,20
32EC9C60C-09-S,32EC9C60C,Mizuno - Mizuno Ter Hoodie W(w) - Black,S,,20
32EC9C60C-09-M,32EC9C60C,Mizuno - Mizuno Ter Hoodie W(w) - Black,M,,5
32EC9C60C-09-L,32EC9C60C,Mizuno - Mizuno Ter Hoodie W(w) - Black,L,,8
32EC9C60C-09-XL,32EC9C60C,Mizuno - Mizuno Ter Hoodie W(w) - Black,XL,,5
32EC9C60C-09-XXL,32EC9C60C,Mizuno - Mizuno Ter Hoodie W(w) - Black,XXL,,11
32EC9C60C-09-3XL,32EC9C60C,Mizuno - Mizuno Ter Hoodie W(w) - Black,3XL,,0
32EB8C14-09-XS,32EB8C14,Mizuno - Authentic Skort W(w) - Black,XS,,20
32EB8C14-09-S,32EB8C14,Mizuno - Authentic Skort W(w) - Black,S,,20
32EB8C14-09-M,32EB8C14,Mizuno - Authentic Skort W(w) - Black,M,,20
32EB8C14-09-L,32EB8C14,Mizuno - Authentic Skort W(w) - Black,L,,20
32EB8C14-09-XL,32EB8C14,Mizuno - Authentic Skort W(w) - Black,XL,,20
32EB8C14-09-XXL,32EB8C14,Mizuno - Authentic Skort W(w) - Black,XXL,,20
32EB8C14-09-3XL,32EB8C14,Mizuno - Authentic Skort W(w) - Black,3XL,,20
32EA8C05-05-XS,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Grey,XS,,20
32EA8C05-05-S,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Grey,S,,20
32EA8C05-05-M,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Grey,M,,20
32EA8C05-05-L,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Grey,L,,12
32EA8C05-05-XL,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Grey,XL,,20
32EA8C05-05-XXL,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Grey,XXL,,20
32EA8C05-05-3XL,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Grey,3XL,,0
32EA8C05-14-XS,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Navy,XS,,20
32EA8C05-14-S,32EA8C05,Mizuno - Shizuoka Ft Tee W(w) - Navy,S,,20
