Handle,Option1 Value,Option2 Value,Option3 Value,SKU,Location,On hand (new)
32ec9c60-07,M,,,32EC9C60-07-M,Antrim,0
32ec9c60-07,L,,,32EC9C60-07-L,Antrim,0
32ec9c60-07,XL,,,32EC9C60-07-XL,Antrim,17
32ec9c60-07,XXL,,,32EC9C60-07-XXL,Antrim,15
32ec9c60-07,3XL,,,32EC9C60-07-3XL,Antrim,0
32ec9c60-14,XS,,,32EC9C60-14-XS,Antrim,0
32ec9c60-14,S,,,32EC9C60-14-S,Antrim,0
32ec9c60-14,M,,,32EC9C60-14-M,Antrim,0
32ec9c60-14,L,,,32EC9C60-14-L,Antrim,0
32ec9c60-14,XL,,,32EC9C60-14-XL,Antrim,0
32ec9c60-14,XXL,,,32EC9C60-14-XXL,Antrim,0
32ec9c60-14,3XL,,,32EC9C60-14-3XL,Antrim,0
32ec9c60c-09,XS,,,32EC9C60C-09-XS,Antrim,20
32ec9c60c-09,S,,,32EC9C60C-09-S,Antrim,20
32ec9c60c-09,M,,,32EC9C60C-09-M,Antrim,5
32ec9c60c-09,L,,,32EC9C60C-09-L,Antrim,8
32ec9c60c-09,XL,,,32EC9C60C-09-XL,Antrim,5
32ec9c60c-09,XXL,,,32EC9C60C-09-XXL,Antrim,11
32ec9c60c-09,3XL,,,32EC9C60C-09-3XL,Antrim,0
32eca760-09,XS,,,32ECA760-09-XS,Antrim,20
32eca760-09,S,,,32ECA760-09-S,Antrim,20
32eca760-09,M,,,32ECA760-09-M,Antrim,20
32eca760-09,L,,,32ECA760-09-L,Antrim,20
32eca760-09,XL,,,32ECA760-09-XL,Antrim,20
32eca760-09,XXL,,,32ECA760-09-XXL,Antrim,16
32eca760-09,3XL,,,32ECA760-09-3XL,Antrim,0
32eca760-62,XS,,,32ECA760-62-XS,Antrim,20
32eca760-62,S,,,32ECA760-62-S,Antrim,20
32eca760-62,M,,,32ECA760-62-M,Antrim,20
32eca760-62,L,,,32ECA760-62-L,Antrim,20
32eca760-62,XL,,,32ECA760-62-XL,Antrim,20
32eca760-62,XXL,,,32ECA760-62-XXL,Antrim,20
32eca760-62,3XL,,,32ECA760-62-3XL,Antrim,0
u2eb7201-14,XXS,,,U2EB7201-14-XXS,Antrim,0
u2eb7201-14,XS,,,U2EB7201-14-XS,Antrim,0
u2eb7201-14,S,,,U2EB7201-14-S,Antrim,0
u2eb7201-14,M,,,U2EB7201-14-M,Antrim,0
u2eb7201-14,L,,,U2EB7201-14-L,Antrim,0
u2eb7201-14,XL,,,U2EB7201-14-XL,Antrim,13
u2eb7201-14,XXL,,,U2EB7201-14-XXL,Antrim,0
u2eb7201-14,3XL,,,U2EB7201-14-3XL,Antrim,0
32eb8c14-09,XS,,,32EB8C14-09-XS,Antrim,20
32eb8c14-09,S,,,32EB8C14-09-S,Antrim,20
32eb8c14-09,M,,,32EB8C14-09-M,Antrim,20
32eb8c14-09,L,,,32EB8C14-09-L,Antrim,20
32eb8c14-09,XL,,,32EB8C14-09-XL,Antrim,20
32eb8c14-09,XXL,,,32EB8C14-09-XXL,Antrim,20
32eb8c14-09,3XL,,,32EB8C14-09-3XL,Antrim,20
32ea8c05-05,XS,,,32EA8C05-05-XS,Antrim,20
32ea8c05-05,S,,,32EA8C05-05-S,Antrim,20
32ea8c05-05,M,,,32EA8C05-05-M,Antrim,20
