Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Taxable,Status,Image Src,Image Position,Cost per item
mizuno-uni-auth-rain-jacket-m-14,,,,,,,FALSE,Size,XXL,U2EE7101-14-XXL,50,,TRUE,draft,,,25
mizuno-uni-auth-rain-jacket-m-14,,,,,,,FALSE,Size,3XL,U2EE7101-14-3XL,50,,TRUE,draft,,,25
mizuno-men-auth-singlet-m-19,Mizuno - Men Auth Singlet(m) - 19,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-u2ea7101, colour-19, vat-standard",FALSE,Size,4XL,U2EA7101-19-4XL,20,,TRUE,draft,https://www.mizunodirect.com/img_catalog/U2EA7101191.jpg,1,10
mizuno-takeshi-gym-shorts-m-black,Mizuno - Takeshi Gym Shorts(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eb4a01, colour-09, color-black, vat-standard",FALSE,Size,M,32EB4A01-09-M,28,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EB4A0109.jpg,1,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,L,32EB4A01-09-L,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,XL,32EB4A01-09-XL,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,XXL,32EB4A01-09-XXL,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,3XL,32EB4A01-09-3XL,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,S,32EB4A01-09-S,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,4XL,32EB4A01-09-4XL,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,XS,32EB4A01-09-XS,28,,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,Mizuno - Authentic R Short M(m) - White,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eb8a11, colour-01, color-white, vat-standard",FALSE,Size,S,32EB8A11-01-S,28,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EB8A1101.jpg,1,14
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,M,32EB8A11-01-M,28,,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,L,32EB8A11-01-L,28,,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,XL,32EB8A11-01-XL,28,,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,XXL,32EB8A11-01-XXL,28,,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,3XL,32EB8A11-01-3XL,28,,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,4XL,32EB8A11-01-4XL,28,,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,Mizuno - Authentic R Short M(m) - Navy,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eb8a11, colour-14, color-navy, vat-standard",FALSE,Size,S,32EB8A11-14-S,28,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EB8A1114.jpg,1,14
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,M,32EB8A11-14-M,28,,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,L,32EB8A11-14-L,28,,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,XL,32EB8A11-14-XL,28,,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,XXL,32EB8A11-14-XXL,28,,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,3XL,32EB8A11-14-3XL,28,,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,4XL,32EB8A11-14-4XL,28,,TRUE,draft,,,14
mizuno-core-bermuda-m-m-black,Mizuno - Core Bermuda M(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eb9635, colour-09, color-black, vat-standard",FALSE,Size,S,32EB9635-09-S,28,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EB963509.jpg,1,14
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,M,32EB9635-09-M,28,,TRUE,draft,,,14
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,L,32EB9635-09-L,28,,TRUE,draft,,,14
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,XL,32EB9635-09-XL,28,,TRUE,draft,,,14
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,XXL,32EB9635-09-XXL,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-01,Mizuno - Takeshi Gym Shorts(m) - 01,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eb4a03, colour-01, vat-standard",FALSE,Size,S,32EB4A03-01-S,28,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EB4A0301.jpg,1,14
mizuno-takeshi-gym-shorts-m-01,,,,,,,FALSE,Size,M,32EB4A03-01-M,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-01,,,,,,,FALSE,Size,L,32EB4A03-01-L,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-01,,,,,,,FALSE,Size,XL,32EB4A03-01-XL,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-01,,,,,,,FALSE,Size,XXL,32EB4A03-01-XXL,28,,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-01,,,,,,,FALSE,Size,3XL,32EB4A03-01-3XL,28,,TRUE,draft,,,14
